ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,bao_mat,phi_tren_5pc,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
10/09/2024,Công ty Cổ phần Di chuyển Xanh và Thông minh GSM,Vận tải,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxhtn-gsm-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-09-10
19/08/2024,Công ty TNHH Logisvalley Bắc Ninh (FDI),Cho thuê Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh6t-logisvalley_bacninh-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-08-19
19/08/2024,Công ty TNHH Logisvalley Vina (FDI),Cho thuê Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/gsxh6t-logisvalley_vina-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-08-19
13/08/2024,Công ty Cổ Phần Bảo Hiểm Phú Hưng (PAC),Bảo hiểm phi nhân thọ,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/gsxh-pac-2024/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2024-08-13
09/08/2024,Công ty TNHH Allgreen-Vượng Thành-Trùng Dương,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/kqxhtn-trung-duong-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-08-09
31/07/2024,Công ty Cổ phần Chứng khoán Rồng Việt (VDS),Chứng khoán,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB,Ổn định,,https://saigonratings.com/gsxh6t-rong-viet-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-07-31
31/07/2024,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Dịch vụ y tế,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/gsxh6t-benh-vien-tnh-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-07-31
30/07/2024,Công ty Cổ phần Thương mại Du Lịch Lạc Hồng,Dịch vụ lưu trú,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBBB,Ổn định,,https://saigonratings.com/gsxh6t-lac-hong-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-07-30
30/07/2024,Công ty Cổ phần Đầu tư Hoàng Đông Dương,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxhtn-hoang-dong-duong-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-07-30
22/07/2024,Công ty TNHH Đầu tư & Phát triển Bất động sản Hải Đăng,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/kqxhtn-hai-dang-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-07-22
