ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,trang_thai_xep_hang,loai_y_kien,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
25/04/2025,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448,FiinRatings,2026-09-25 14:05:53,2025-04-25
25/04/2025,Công ty Cổ phần Nước Biwase - Long An,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,7305,FiinRatings,2026-09-25 14:05:53,2025-04-25
12/04/2025,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2025-04-12
10/04/2025,Công ty Cổ phần Đầu tư và Du lịch Vạn Hương,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-da-lich-vạn-huong-id10968.html,10968,FiinRatings,2026-09-25 14:05:53,2025-04-10
09/04/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Nước và tiện ích,XHTN Lần đầu,XHTN Công cụ nợ,AAA,Ổn định,XMH12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657,FiinRatings,2026-09-25 14:05:53,2025-04-09
03/04/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Nước và tiện ích,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657,FiinRatings,2026-09-25 14:05:53,2025-04-03
02/04/2025,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2025-04-02
01/04/2025,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,3422,FiinRatings,2026-09-25 14:05:53,2025-04-01
29/03/2025,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101,FiinRatings,2026-09-25 14:05:53,2025-03-29
21/03/2025,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,3542,FiinRatings,2026-09-25 14:05:53,2025-03-21
09/03/2025,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,2739,FiinRatings,2026-09-25 14:05:53,2025-03-09
03/03/2025,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2025-03-03
28/02/2025,Công ty Cổ phần Tập đoàn Hà Đô,Đa ngành,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,3116,FiinRatings,2026-09-25 14:05:53,2025-02-28
15/01/2025,Công ty Cổ phần Chứng Khoán VPS,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vps-id4273.html,4273,FiinRatings,2026-09-25 14:05:53,2025-01-15
15/01/2025,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2025-01-15
