ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
30/01/2026,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,,Doanh nghiệp,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamex-ctcp.19.html,19,VIS Rating,2026-08-13 08:59:18,2026-01-30
07/01/2026,Ngân hàng TMCP Việt Á,,Định chế tài chính,Kết thúc,Công cụ nợ,Dài hạn,WR,,VABLH2431002,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/visrating-vab-tp-ket-thuc-xh-07012026-pdf.107.html,https://visrating.com/rating-results/report/visrating-vab-bond-withdrawal-07012026-pdf.107.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12,VIS Rating,2026-08-13 08:59:18,2026-01-07
06/01/2026,Công ty Cổ phần Tập đoàn Gelex,,Doanh nghiệp,Thay đổi triển vọng,Doanh nghiệp,Dài hạn,A,Tích cực,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/20260106_gex_rating-announcement_vn-pdf.131.html,https://visrating.com/rating-results/report/20260106_gex_rating-announcement_en-pdf.131.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-gelex.7.html,7,VIS Rating,2026-08-13 08:59:18,2026-01-06
31/12/2025,Công ty Cổ phần Chứng khoán AIS,,Định chế tài chính,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A-,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-ais.18.html,18,VIS Rating,2026-08-13 08:59:18,2025-12-31
24/12/2025,Công ty Cổ phần Nước Aqua One,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,Dài hạn,BBB+,Ổn định,AQ112501,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/20251224_aquaone_bond_rating_announcement_vn.143.html,https://visrating.com/rating-results/report/20251224_aquaone_bond_rating_announcement_en.143.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-nuoc-aqua-one.33.html,33,VIS Rating,2026-08-13 08:59:18,2025-12-24
24/12/2025,Công ty Cổ phần Tập đoàn Trường Hải,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,A-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/20251224_thaco_rating_announcement_vn-pdf.100.html,https://visrating.com/rating-results/report/20251224_thaco_rating_announcement_en-pdf.100.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tap-doan-truong-hai.41.html,41,VIS Rating,2026-08-13 08:59:18,2025-12-24
24/12/2025,Công ty Cổ phần Nước Aqua One,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,BBB+,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/20251224_aquaone_rating_announcement_vn-pdf.98.html,https://visrating.com/rating-results/report/20251224_aquaone_rating_announcement_en-pdf.98.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-nuoc-aqua-one.33.html,33,VIS Rating,2026-08-13 08:59:18,2025-12-24
23/12/2025,Công ty Cổ phần VinaLiving Holdings,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,BBB+,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/2025_vinaliving_rating_announcement_vn-pdf.97.html,https://visrating.com/rating-results/report/2025_vinaliving_rating_announcement_en-pdf.97.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-vinaliving-holdings.40.html,40,VIS Rating,2026-08-13 08:59:18,2025-12-23
17/12/2025,Công ty Cổ phần Chứng khoán BIDV,,Định chế tài chính,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,A+,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202512-bsi-bao-cao-xhtn-pdf.93.html,https://visrating.com/rating-results/report/202512-bsi-rating-announcement-pdf.93.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-bidv.39.html,39,VIS Rating,2026-08-13 08:59:18,2025-12-17
16/12/2025,Công ty Cổ phần Chứng khoán Thiên Việt,,Định chế tài chính,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,A-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/visrating-tvs-bao-cao-kqxhtn-16122025vn-pdf.92.html,https://visrating.com/rating-results/report/visrating-tvs-rating-announcement-16122025en-pdf.92.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-cp-phan-chung-khoan-thien-viet.36.html,36,VIS Rating,2026-08-13 08:59:18,2025-12-16
12/12/2025,Ngân hàng TMCP Việt Á,,Định chế tài chính,Giám sát theo dõi,Công cụ nợ,Dài hạn,BBB+,Ổn định,VABLH2431002,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12,VIS Rating,2026-08-13 08:59:18,2025-12-12
12/12/2025,Ngân hàng TMCP Việt Á,,Định chế tài chính,Giám sát theo dõi,Công cụ nợ,Dài hạn,BBB+,Ổn định,VABCLH2330001,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12,VIS Rating,2026-08-13 08:59:18,2025-12-12
12/12/2025,Công ty Tài chính tín dụng tiêu dùng TNHH MB Shinsei,,Định chế tài chính,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A-,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tai-chinh-tin-dung-tieu-dung-tnhh-mb-shinsei.17.html,17,VIS Rating,2026-08-13 08:59:18,2025-12-12
12/12/2025,Ngân hàng TMCP Việt Á,,Định chế tài chính,Giám sát theo dõi,Công cụ nợ,Dài hạn,BBB+,Ổn định,VABCLH2431001,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-viet-a.12.html,12,VIS Rating,2026-08-13 08:59:18,2025-12-12
